"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"AN","Confluence","0.666 +/- 0.044","0.592 +/- 0.108","0.665 +/- 0.044","0.665 +/- 0.044","0.665 +/- 0.044","0.666 +/- 0.044","0.653 +/- 0.043","0.658 +/- 0.046"
"AN","East Delta","0.441 +/- 0.043","0.44 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.44 +/- 0.043"
"AN","Lower Sacramento River","0.635 +/- 0.036","0.634 +/- 0.034","0.635 +/- 0.036","0.635 +/- 0.036","0.635 +/- 0.036","0.635 +/- 0.036","0.636 +/- 0.036","0.635 +/- 0.035"
"AN","Lower San Joaquin River","0.479 +/- 0.081","0.48 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.479 +/- 0.081","0.48 +/- 0.081","0.48 +/- 0.081"
"AN","NE Suisun","0.602 +/- 0.186","0.405 +/- 0.193","0.595 +/- 0.183","0.595 +/- 0.182","0.601 +/- 0.191","0.611 +/- 0.189","0.521 +/- 0.143","0.559 +/- 0.201"
"AN","NW Suisun","0.46 +/- 0.155","0.362 +/- 0.128","0.456 +/- 0.148","0.456 +/- 0.148","0.463 +/- 0.157","0.469 +/- 0.159","0.386 +/- 0.103","0.448 +/- 0.138"
"AN","SE Suisun","0.418 +/- 0.13","0.276 +/- 0.136","0.411 +/- 0.125","0.411 +/- 0.125","0.417 +/- 0.136","0.425 +/- 0.135","0.355 +/- 0.09","0.385 +/- 0.129"
"AN","SW Suisun","0.144 +/- 0.017","0.144 +/- 0.018","0.143 +/- 0.016","0.143 +/- 0.016","0.145 +/- 0.018","0.145 +/- 0.017","0.145 +/- 0.016","0.144 +/- 0.017"
"AN","Sacramento River","0.419 +/- 0.016","0.42 +/- 0.016","0.418 +/- 0.017","0.418 +/- 0.017","0.418 +/- 0.017","0.418 +/- 0.017","0.423 +/- 0.017","0.418 +/- 0.016"
"AN","South Delta","0.48 +/- 0.05","0.479 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.481 +/- 0.05","0.48 +/- 0.05"
"AN","Suisun Marsh","0.819 +/- 0.092","0.578 +/- 0.226","0.823 +/- 0.082","0.823 +/- 0.081","0.824 +/- 0.082","0.828 +/- 0.08","0.777 +/- 0.051","0.812 +/- 0.092"
"AN","Yolo Bypass","0.55 +/- 0.013","0.55 +/- 0.014","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.013","0.55 +/- 0.014"
"AN","SummerFall","0.645 +/- 0.158","0.542 +/- 0.173","0.645 +/- 0.158","0.645 +/- 0.158","0.647 +/- 0.158","0.65 +/- 0.157","0.613 +/- 0.156","0.638 +/- 0.156"
