"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"AN","Confluence",0.666,"0.592 (-0.111)","0.665 (-0.002)","0.665 (-0.002)","0.665 (-0.002)","0.666 (0)","0.653 (-0.02)","0.658 (-0.012)"
"AN","East Delta",0.441,"0.44 (-0.002)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.44 (-0.002)"
"AN","Lower Sacramento River",0.635,"0.634 (-0.002)","0.635 (0)","0.635 (0)","0.635 (0)","0.635 (0)","0.636 (0.002)","0.635 (0)"
"AN","Lower San Joaquin River",0.479,"0.48 (0.002)","0.479 (0)","0.479 (0)","0.479 (0)","0.479 (0)","0.48 (0.002)","0.48 (0.002)"
"AN","NE Suisun",0.602,"0.405 (-0.327)","0.595 (-0.012)","0.595 (-0.012)","0.601 (-0.002)","0.611 (0.015)","0.521 (-0.135)","0.559 (-0.071)"
"AN","NW Suisun",0.46,"0.362 (-0.213)","0.456 (-0.009)","0.456 (-0.009)","0.463 (0.007)","0.469 (0.02)","0.386 (-0.161)","0.448 (-0.026)"
"AN","SE Suisun",0.418,"0.276 (-0.34)","0.411 (-0.017)","0.411 (-0.017)","0.417 (-0.002)","0.425 (0.017)","0.355 (-0.151)","0.385 (-0.079)"
"AN","SW Suisun",0.144,"0.144 (0)","0.143 (-0.007)","0.143 (-0.007)","0.145 (0.007)","0.145 (0.007)","0.145 (0.007)","0.144 (0)"
"AN","Sacramento River",0.419,"0.42 (0.002)","0.418 (-0.002)","0.418 (-0.002)","0.418 (-0.002)","0.418 (-0.002)","0.423 (0.01)","0.418 (-0.002)"
"AN","South Delta",0.48,"0.479 (-0.002)","0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)","0.481 (0.002)","0.48 (0)"
"AN","Suisun Marsh",0.819,"0.578 (-0.294)","0.823 (0.005)","0.823 (0.005)","0.824 (0.006)","0.828 (0.011)","0.777 (-0.051)","0.812 (-0.009)"
"AN","Yolo Bypass",0.55,"0.55 (0)","0.55 (0)","0.55 (0)","0.55 (0)","0.55 (0)","0.55 (0)","0.55 (0)"
"AN","SummerFall",0.645,"0.542 (-0.16)","0.645 (0)","0.645 (0)","0.647 (0.003)","0.65 (0.008)","0.613 (-0.05)","0.638 (-0.011)"
"AN","Delta",0.51,"0.447 (-0.124)","0.508 (-0.004)","0.508 (-0.004)","0.51 (0)","0.512 (0.004)","0.487 (-0.045)","0.501 (-0.018)"
"BN","Confluence",0.601,"0.632 (0.052)","0.585 (-0.027)","0.585 (-0.027)","0.598 (-0.005)","0.598 (-0.005)","0.644 (0.072)","0.584 (-0.028)"
"BN","East Delta",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"BN","Lower Sacramento River",0.648,"0.648 (0)","0.648 (0)","0.648 (0)","0.648 (0)","0.648 (0)","0.649 (0.002)","0.648 (0)"
"BN","Lower San Joaquin River",0.482,"0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)"
"BN","NE Suisun",0.431,"0.424 (-0.016)","0.423 (-0.019)","0.423 (-0.019)","0.423 (-0.019)","0.423 (-0.019)","0.477 (0.107)","0.422 (-0.021)"
"BN","NW Suisun",0.366,"0.33 (-0.098)","0.336 (-0.082)","0.336 (-0.082)","0.336 (-0.082)","0.336 (-0.082)","0.31 (-0.153)","0.335 (-0.085)"
"BN","SE Suisun",0.304,"0.306 (0.007)","0.297 (-0.023)","0.297 (-0.023)","0.299 (-0.016)","0.298 (-0.02)","0.339 (0.115)","0.296 (-0.026)"
"BN","SW Suisun",0.148,"0.147 (-0.007)","0.148 (0)","0.148 (0)","0.148 (0)","0.147 (-0.007)","0.147 (-0.007)","0.148 (0)"
"BN","Sacramento River",0.423,"0.424 (0.002)","0.423 (0)","0.423 (0)","0.423 (0)","0.423 (0)","0.426 (0.007)","0.423 (0)"
"BN","South Delta",0.478,"0.478 (0)","0.478 (0)","0.478 (0)","0.478 (0)","0.478 (0)","0.48 (0.004)","0.478 (0)"
"BN","Suisun Marsh",0.738,"0.561 (-0.24)","0.726 (-0.016)","0.726 (-0.016)","0.748 (0.014)","0.75 (0.016)","0.765 (0.037)","0.725 (-0.018)"
"BN","Yolo Bypass",0.547,"0.547 (0)","0.547 (0)","0.547 (0)","0.547 (0)","0.547 (0)","0.547 (0)","0.547 (0)"
"BN","SummerFall",0.588,"0.543 (-0.077)","0.574 (-0.024)","0.574 (-0.024)","0.583 (-0.009)","0.583 (-0.009)","0.592 (0.007)","0.573 (-0.026)"
"BN","Delta",0.467,"0.452 (-0.032)","0.461 (-0.013)","0.461 (-0.013)","0.464 (-0.006)","0.464 (-0.006)","0.476 (0.019)","0.461 (-0.013)"
"C","Confluence",0.348,"0.409 (0.175)","0.355 (0.02)","0.442 (0.27)","0.434 (0.247)","0.44 (0.264)","0.441 (0.267)","0.346 (-0.006)"
"C","East Delta",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"C","Lower Sacramento River",0.613,"0.57 (-0.07)","0.616 (0.005)","0.613 (0)","0.596 (-0.028)","0.607 (-0.01)","0.58 (-0.054)","0.564 (-0.08)"
"C","Lower San Joaquin River",0.483,"0.475 (-0.017)","0.483 (0)","0.483 (0)","0.482 (-0.002)","0.483 (0)","0.478 (-0.01)","0.477 (-0.012)"
"C","NE Suisun",0.309,"0.344 (0.113)","0.309 (0)","0.318 (0.029)","0.32 (0.036)","0.323 (0.045)","0.352 (0.139)","0.309 (0)"
"C","NW Suisun",0.307,"0.306 (-0.003)","0.307 (0)","0.307 (0)","0.307 (0)","0.307 (0)","0.305 (-0.007)","0.306 (-0.003)"
"C","SE Suisun",0.199,"0.232 (0.166)","0.199 (0)","0.215 (0.08)","0.216 (0.085)","0.218 (0.095)","0.235 (0.181)","0.2 (0.005)"
"C","SW Suisun",0.157,"0.15 (-0.045)","0.157 (0)","0.156 (-0.006)","0.156 (-0.006)","0.156 (-0.006)","0.149 (-0.051)","0.15 (-0.045)"
