"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"AN","Confluence","0.401 (0.226)","0.482 (0.069)",0.518,"0.521 (-0.006)","0.521 (-0.006)","0.526 (-0.015)","0.524 (-0.012)"
"AN","East Delta","0.186 (0.41)","0.199 (0.368)",0.315,"0.321 (-0.019)","0.321 (-0.019)","0.322 (-0.022)","0.322 (-0.022)"
"AN","Lower Sacramento River","0.369 (0.205)","0.376 (0.19)",0.464,"0.472 (-0.017)","0.472 (-0.017)","0.48 (-0.034)","0.479 (-0.032)"
"AN","Lower San Joaquin River","0.194 (0.218)","0.194 (0.218)",0.248,"0.253 (-0.02)","0.253 (-0.02)","0.254 (-0.024)","0.253 (-0.02)"
"AN","NE Suisun","0.323 (0.392)","0.503 (0.053)",0.531,"0.515 (0.03)","0.515 (0.03)","0.536 (-0.009)","0.546 (-0.028)"
"AN","NW Suisun","0.298 (0.262)","0.357 (0.116)",0.404,"0.394 (0.025)","0.394 (0.025)","0.408 (-0.01)","0.415 (-0.027)"
"AN","SE Suisun","0.222 (0.385)","0.349 (0.033)",0.361,"0.352 (0.025)","0.352 (0.025)","0.366 (-0.014)","0.373 (-0.033)"
"AN","SW Suisun","0.136 (0)","0.139 (-0.022)",0.136,"0.132 (0.029)","0.132 (0.029)","0.137 (-0.007)","0.137 (-0.007)"
"AN","Sacramento River","0.219 (0.421)","0.284 (0.249)",0.378,"0.382 (-0.011)","0.382 (-0.011)","0.384 (-0.016)","0.384 (-0.016)"
"AN","South Delta","0.163 (0.133)","0.162 (0.138)",0.188,"0.192 (-0.021)","0.192 (-0.021)","0.193 (-0.027)","0.193 (-0.027)"
"AN","Suisun Marsh","0.387 (0.421)","0.542 (0.189)",0.668,"0.673 (-0.007)","0.673 (-0.007)","0.681 (-0.019)","0.684 (-0.024)"
"AN","Yolo Bypass","0.243 (0.09)","0.253 (0.052)",0.267,"0.267 (0)","0.267 (0)","0.267 (0)","0.267 (0)"
"AN","SummerFall","0.364 (0.29)","0.439 (0.144)",0.513,"0.515 (-0.004)","0.515 (-0.004)","0.524 (-0.021)","0.525 (-0.023)"
"AN","Delta","0.262 (0.298)","0.32 (0.142)",0.373,"0.373 (0)","0.373 (0)","0.38 (-0.019)","0.381 (-0.021)"
"BN","Confluence","0.208 (0.484)","0.442 (-0.097)",0.403,"0.386 (0.042)","0.388 (0.037)","0.401 (0.005)","0.401 (0.005)"
