"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"AN","Confluence",0.518,"0.462 (-0.108)","0.521 (0.006)","0.521 (0.006)","0.526 (0.015)","0.524 (0.012)","0.476 (-0.081)","0.519 (0.002)"
"AN","East Delta",0.315,"0.322 (0.022)","0.321 (0.019)","0.321 (0.019)","0.322 (0.022)","0.322 (0.022)","0.276 (-0.124)","0.329 (0.044)"
"AN","Lower Sacramento River",0.464,"0.46 (-0.009)","0.472 (0.017)","0.472 (0.017)","0.48 (0.034)","0.479 (0.032)","0.393 (-0.153)","0.481 (0.037)"
"AN","Lower San Joaquin River",0.248,"0.247 (-0.004)","0.253 (0.02)","0.253 (0.02)","0.254 (0.024)","0.253 (0.02)","0.21 (-0.153)","0.252 (0.016)"
"AN","NE Suisun",0.531,"0.358 (-0.326)","0.515 (-0.03)","0.515 (-0.03)","0.536 (0.009)","0.546 (0.028)","0.453 (-0.147)","0.495 (-0.068)"
"AN","NW Suisun",0.404,"0.32 (-0.208)","0.394 (-0.025)","0.394 (-0.025)","0.408 (0.01)","0.415 (0.027)","0.337 (-0.166)","0.395 (-0.022)"
"AN","SE Suisun",0.361,"0.242 (-0.33)","0.352 (-0.025)","0.352 (-0.025)","0.366 (0.014)","0.373 (0.033)","0.303 (-0.161)","0.336 (-0.069)"
"AN","SW Suisun",0.136,"0.137 (0.007)","0.132 (-0.029)","0.132 (-0.029)","0.137 (0.007)","0.137 (0.007)","0.137 (0.007)","0.138 (0.015)"
"AN","Sacramento River",0.378,"0.377 (-0.003)","0.382 (0.011)","0.382 (0.011)","0.384 (0.016)","0.384 (0.016)","0.337 (-0.108)","0.385 (0.019)"
"AN","South Delta",0.188,"0.19 (0.011)","0.192 (0.021)","0.192 (0.021)","0.193 (0.027)","0.193 (0.027)","0.169 (-0.101)","0.19 (0.011)"
"AN","Suisun Marsh",0.668,"0.468 (-0.299)","0.673 (0.007)","0.673 (0.007)","0.681 (0.019)","0.684 (0.024)","0.631 (-0.055)","0.671 (0.004)"
"AN","Yolo Bypass",0.267,"0.263 (-0.015)","0.267 (0)","0.267 (0)","0.267 (0)","0.267 (0)","0.256 (-0.041)","0.264 (-0.011)"
"AN","SummerFall",0.513,"0.428 (-0.166)","0.515 (0.004)","0.515 (0.004)","0.524 (0.021)","0.525 (0.023)","0.459 (-0.105)","0.516 (0.006)"
"AN","Delta",0.373,"0.321 (-0.139)","0.373 (0)","0.373 (0)","0.38 (0.019)","0.381 (0.021)","0.331 (-0.113)","0.371 (-0.005)"
"BN","Confluence",0.403,"0.433 (0.074)","0.386 (-0.042)","0.388 (-0.037)","0.401 (-0.005)","0.401 (-0.005)","0.408 (0.012)","0.387 (-0.04)"
"BN","East Delta",0.242,"0.251 (0.037)","0.237 (-0.021)","0.239 (-0.012)","0.244 (0.008)","0.244 (0.008)","0.218 (-0.099)","0.239 (-0.012)"
"BN","Lower Sacramento River",0.38,"0.383 (0.008)","0.377 (-0.008)","0.378 (-0.005)","0.381 (0.003)","0.38 (0)","0.356 (-0.063)","0.378 (-0.005)"
